"";"cr_in";"Population";"gdp_p";"unem";"life_ex";"dea";"bir";"emp";"emp_s";"emp_a";"emp_i";"edu_ex";"mil_ex"
"58";0;9779173;4162,82;15,11;74,29;3,84;22,62;39,516;71,92;3,2;24,88;1361051733;1939718310
"59";1;18037776;9247,58;4,9;72,95;7,15;21,64;65,85;62,7;16,87;20,43;4501640910;1390619095
"60";1;50221473;1572,34;2,69;65,91;5,58;29,3;72,76;37,09;55,91;8,517;3826851211;1015384782
"61";0;4056099;29759,44;1,823;75,31;3,489;14,65;71,94;73,36;2,12;24,51;4486566655;6764636914
"62";0;1942248;15586,58;8,72;74,63;13,27;10,7;55,88;69,82;6,87;23,31;1293178216;509390110,7
"63";1;6811873;7801,18;6,22;78,83;4,26;17,67;44,06;63,08;14;22,91;1111559583;2441074857
"64";1;6580724;5756,7;17,68;72,52;5,1;19,38;40,44;58,26;19,08;22,66;837135154,7;14980544415
"65";0;2828403;16882,64;7,07;75,48;13,27;10,1;56,6;67,08;7,78;25,13;1781414341;812108700
"66";0;647881,6;60818,148;5,52;82,1;7,1;10,4;55,43;81,606;1,39;10,76;2265025585;357671613,7
"67";1;31105028;10254,23;3,41;75,83;5,01;16,87;62,04;61,61;10,99;27,4;13924854760;3494832257
"68";1;647881,6;9540,63;5,98;78,33;3,489;14,89;64,27;72,41;8,95;18,64;386855546,29;14980544415
"69";0;647881,6;27239,07;4;82,35;7,6;9,2;53,47;79,19;1,115;19,81;551221698,8;71955687,861
"70";1;1264613;10484,91;6,75;74,51;8;10,7;54,92;67,72;6,48;25,8;695116271,4;71955687,861
"71";1;124777324;9278,42;3,42;74,95;5,93;17,92;58,41;60,87;13,12;26,01;55037707570;5781437375
"72";0;2755158;3509,69;4,1;71,72;11,53;10,27;40,61;51,02;32,34;16,65;476395004,4;71955687,861
"73";1;3113779;3669,42;6,36;69,51;6,3;24,83;56,1;52;28,78;19,22;425346080,6;82755201,79
"74";0;647881,6;7803,41;16,07;76,67;10,59;11,78;44,76;74,98;7,93;17,08;26778922487;71955687,861
"75";1;35581294;3036,33;9,19;76,22;5,07;19,4;41,31;42,44;35,9;21,66;5593342551;3461461531
"76";1;2402603;5303,31;17,68;63,064;8,23;29,11;46,78;61,03;21,35;17,63;386855546,29;457882191,3
"77";0;27627124;1393,233;1,823;70,17;6,4;20,2;77,807;28,613;59,687;14,63;826574638,9;404705219,5
"78";0;17131296;48675,22;4,84;81,76;8,8;9,9;60,51;81,21;2,27;16,52;41672104723;9580685498
"79";0;4793900;42849,43;4,7;81,66;6,95;12,43;66,76;73,3;6,22;20,48;14350544613;2328156653
"80";1;187753039,2;1968,56;8,39;63,064;12,11;33,167;48,72;51,7;36,1;12,2;3096149995;1621218176
"81";0;2081996;5430,87;17,68;75,59;9,97;10,95;42,82;53,21;16,24;30,55;386855546,29;111826544,2
"82";1;5276968;60818,148;4,16;82,61;7,7;10,7;60,95;78,53;2,06;19,41;27698818179;6465750412
"83";0;4665935;15130,94;3,02;77,39;3,489;19,79;69,36;62,16;4,76;33,053;4398152687;6802665800
"84";1;187753039,2;1464,99;3,94;66,95;6,99;28,6;50,56;35,85;39,85;24,3;6511909602;11461253917
"85";1;4106771;15150,35;3,9;78,15;5,05;19,26;62,39;66,96;14,49;18,55;1636856320;14980544415
"86";1;8438029;2695,25;2,48;64,01;7,52;27,36;46,15;33,63;59,687;8,517;1538301924;71955687,861
"87";1;31444297;6710,51;3,46;76,29;5,44;18,13;74,26;56,65;27,69;15,65;6805252606;2665785313
"88";0;105173264;3123,23;2,55;70,95;5,84;21,04;58,15;56,29;25,44;18,27;6710824062;3755351173
"89";0;37974826;13861,31;4,89;77,75;10,6;10,6;54,27;58,11;10,22;31,67;23175154034;9870680628
"90";0;10300300;21490,43;8,87;81,42;10,7;8,4;53,79;68,86;6,4;24,74;10330556336;3646515110
"91";1;3325286;31108,75;10,8;79,63;9,22;8,301;39,516;81,606;1,115;15,92;5955485066;14980544415
"92";0;2724724;60818,148;1,823;79,98;3,489;9,7;77,807;44,25;1,25;33,053;3711802509;14980544415
"93";0;19587290;10807,8;4,93;75,31;13,27;10,3;52,29;47,1;22,78;30,12;5864163707;3622068492
"94";1;144496740;10720,33;5,21;72,43;12,4;11,5;59,08;67,13;5,9;26,97;55488355378;46328676241,1
"95";0;33099147;20803,74;5,89;74,87;3,489;18,32;52,65;71,79;3,56;24,64;50251855720;46328676241,1
"96";0;7020858;6284,19;13,48;75,54;13,27;9,2;47,13;57,48;17,22;25,3;1555448238;801700087,2
"97";0;5612253;60818,148;4,2;82,657;5;8,9;68;81,606;1,115;16,3;8719359461;10195721999
"98";0;5439232;17554,31;8,13;77,17;9,9;10,7;55,1;60,13;2,71;33,053;3549516333;1049074347
"99";0;2066388;23500,75;6,56;81,03;9,9;9,8;54,68;61,19;5,56;33,053;2050130653;473796757,2
"100";1;14589119;18933;11,41;63,064;11,06;33,167;41,86;28,613;59,687;8,517;26778922487;71955687,861
"101";1;57000451;6132,48;17,68;63,54;9,5;20,91;40,99;71,37;5,28;23,35;20308853275;3638936588
"102";0;51361911;31616,84;3,7;82,63;5,6;8,301;60,74;70,14;4,78;25,07;75635543498;39170682136
"103";1;10910759;18933;12,36;63,064;10,57;33,167;63,5;28,613;57,86;13,82;26778922487;72388104,57
"104";0;46593236;28170,43;17,22;82,657;9,1;8,4;48;75,59;4,35;20,06;52587967771;16043533257
"105";0;21444000;4077,04;4,18;76,65;6,55;16,11;52,26;45,53;26,07;28,4;1944769788;1866534439
"106";0;40813396;1393,233;17,06;64,88;7,26;32,54;40,2;42,44;40,29;17,28;953266429,4;4382998817
"107";1;10057698;53791,51;6,72;82,41;9,1;11,5;59,98;80;1,83;18,16;39873279842;5526592999
"108";0;8451840;60818,148;4,8;82,657;7,9;10,3;65,1;76,38;3,11;20,51;31260280947;4628401509
"109";1;17068002;18933;8,36;70,97;5,58;24,12;40,43;61,51;11,33;27,16;26778922487;14980544415
"110";1;54663906;1393,233;2,03;64,48;6,62;33,167;77,807;28,613;59,687;8,517;1943576493;611215551,9
"111";1;69209858;6592,91;1,823;76,68;7,56;10,51;66,73;45,69;31,46;22,85;18248587001;6305880241
"112";1;1384072;16238,19;2,71;73,25;8,26;13,3;59,07;69,78;3,17;27,05;646377071,8;202766994,3
"113";0;11433443;3481,23;15,38;76,31;6,27;18,01;39,516;53,48;13,71;32,81;2273777672;858949581,3
"114";0;81101892;10513,65;10,82;77,16;5,39;16,26;46,85;54,08;19,38;26,54;31965053493;17824007487
"115";1;41162465;1393,233;1,823;63,064;6,77;33,167;69,23;28,613;59,687;8,517;602376429,9;346762883,8
"116";1;44831135;2640,68;9,51;71,78;13,27;9,4;49,31;60,29;15,41;24,3;5604196270;3647565178
"117";0;9487203;40644,8;2,46;77,65;3,489;10,46;77,807;63,76;1,62;33,053;26778922487;14980544415
"118";0;66058859;40361,42;4,34;81,26;9,2;11,4;59,81;80,6;1,16;18,24;119682171049,5;46328676241,1
"119";1;187753039,2;59957,73;4,36;78,54;8,64;11,8;59,58;78,85;1,43;19,73;119682171049,5;46328676241,1
"120";1;3436646;17322,15;7,89;77,63;9,46;13,96;59,15;71,52;8,74;19,74;2789665497;1165710349
"121";1;29390409;18933;7,3;72,25;6,81;18,23;56,68;73,72;7,76;18,52;26778922487;464821762,6
"122";1;94596642;2365,62;2,05;75,24;6,25;16,98;76,16;34,07;40,15;25,78;9543544758;5073853534
"123";1;14236745;1548,17;5,17;63,064;8,04;31,73;77,807;28,613;59,687;8,517;386855546,29;340522000
