;ter;cr_in;Population;gdp_p;unem;life_ex;dea;bir;emp;emp_s;emp_a;emp_i;edu_ex;mil_ex
51;Iran;50,9;80673951;5520,31;12,1;76,27;4,84;19,01;39,44;50,38;17,58;32,04;16161905369;13931196490
52;Iraq;54,35;37552781;5205,29;13,02;70,29;4,83;29,69;37,08;58,85;18,58;22,57;8925375959;7416385135
53;Ireland;45,77;4807388;69822,35;6,71;82,16;6,3;12,9;58,02;76,11;5,05;18,84;11256259597;1025063447
54;Israel;29,01;8713300;40541,86;4,22;82,55;5,1;21,1;61,4;81,65;0,99;17,36;18696388697;15581608422
55;Italy;44,66;60536709;32406,72;11,21;82,95;10,7;7,6;44,05;70,21;3,78;26;72639178051;26447892915
56;Jamaica;67,48;2920853;5069,18;11,63;74,27;7,56;16,29;58,81;67,52;16,78;15,7;757129743,4;143545555,4
57;Japan;20,89;126785797;38386,51;2,8;84,1;10,8;7,6;59,17;71,93;3,44;24,63;1,38E+11;45387031802
58;Jordan;43,14;9779173;4162,82;15,11;74,29;3,84;22,62;33,41;71,92;3,2;24,88;1361051733;1939718310
59;Kazakhstan;48,29;18037776;9247,58;4,9;72,95;7,15;21,64;65,85;62,7;16,87;20,43;4501640910;1390619095
60;Kenya;64,96;50221473;1572,34;2,69;65,91;5,58;29,3;72,76;37,09;55,91;7,01;3826851211;1015384782
61;Kuwait;33,48;4056099;29759,44;1,8;75,31;2,6;14,65;71,94;73,36;2,12;24,51;4486566655;6764636914
62;Latvia;36,45;1942248;15586,58;8,72;74,63;14,8;10,7;55,88;69,82;6,87;23,31;1293178216;509390110,7
63;Lebanon;49,16;6811873;7801,18;6,22;78,83;4,26;17,67;44,06;63,08;14;22,91;1111559583;2441074857
64;Libya;54,47;6580724;5756,7;18,63;72,52;5,1;19,38;40,44;58,26;19,08;22,66;837135154,7;
65;Lithuania;40,03;2828403;16882,64;7,07;75,48;14,2;10,1;56,6;67,08;7,78;25,13;1781414341;812108700
66;Luxembourg;29,04;596336;107627,15;5,52;82,1;7,1;10,4;55,43;87,85;1,39;10,76;2265025585;357671613,7
67;Malaysia;64,75;31105028;10254,23;3,41;75,83;5,01;16,87;62,04;61,61;10,99;27,4;13924854760;3494832257
